Symptom,cate
What are the symptoms of Cobb syndrome ?,Cobb syndrome
What are the symptoms of Fatal familial insomnia ?,Fatal familial insomnia
What are the symptoms of Bardet-Biedl syndrome 7 ?,Bardet-Biedl syndrome 7
What are the symptoms of Familial dermographism ?,Familial dermographism
What are the symptoms of Otodental dysplasia ?,Otodental dysplasia
What are the symptoms of Neuroblastoma ?,Neuroblastoma
What are the symptoms of KBG syndrome ?,KBG syndrome
What are the symptoms of Congenital deafness with vitiligo and achalasia ?,Congenital deafness with vitiligo and achalasia
What are the symptoms of Verloove Vanhorick Brubakk syndrome ?,Verloove Vanhorick Brubakk syndrome
"What are the symptoms of Dandy-Walker malformation with intellectual disability, basal ganglia disease and seizures ?","Dandy-Walker malformation with intellectual disability, basal ganglia disease and seizures"
What are the symptoms of Proximal chromosome 18q deletion syndrome ?,Proximal chromosome 18q deletion syndrome
What are the symptoms of Deafness and myopia syndrome ?,Deafness and myopia syndrome
What are the symptoms of Bilateral perisylvian polymicrogyria ?,Bilateral perisylvian polymicrogyria
What are the symptoms of D-2-alpha hydroxyglutaric aciduria ?,D-2-alpha hydroxyglutaric aciduria
What are the symptoms of Nasodigitoacoustic syndrome ?,Nasodigitoacoustic syndrome
What are the symptoms of What I need to know about Diarrhea ?,What I need to know about Diarrhea
What are the symptoms of Hartnup disease ?,Hartnup disease
What are the symptoms of Brachydactyly type A6 ?,Brachydactyly type A6
What are the symptoms of TAR syndrome ?,TAR syndrome
What are the symptoms of Lysinuric protein intolerance ?,Lysinuric protein intolerance
What are the symptoms of Pyridoxal 5'-phosphate-dependent epilepsy ?,Pyridoxal 5'-phosphate-dependent epilepsy
"What are the symptoms of Amino aciduria with mental deficiency, dwarfism, muscular dystrophy, osteoporosis and acidosis ?","Amino aciduria with mental deficiency, dwarfism, muscular dystrophy, osteoporosis and acidosis"
What are the symptoms of Snowflake vitreoretinal degeneration ?,Snowflake vitreoretinal degeneration
What are the symptoms of Persistence of mullerian derivatives with lymphangiectasia and postaxial polydactyly ?,Persistence of mullerian derivatives with lymphangiectasia and postaxial polydactyly
What are the symptoms of Primary lateral sclerosis ?,Primary lateral sclerosis
What are the symptoms of Familial progressive cardiac conduction defect ?,Familial progressive cardiac conduction defect
What are the symptoms of Baraitser-Winter syndrome ?,Baraitser-Winter syndrome
What are the symptoms of Norum disease ?,Norum disease
What are the symptoms of Wellesley Carmen French syndrome ?,Wellesley Carmen French syndrome
What are the symptoms of X-linked dominant scapuloperoneal myopathy ?,X-linked dominant scapuloperoneal myopathy
What are the symptoms of Microcephaly-albinism-digital anomalies syndrome ?,Microcephaly-albinism-digital anomalies syndrome
What are the symptoms of Multiple endocrine neoplasia type 1 ?,Multiple endocrine neoplasia type 1
What are the symptoms of Radio renal syndrome ?,Radio renal syndrome
What are the symptoms of Dysautonomia like disorder ?,Dysautonomia like disorder
What are the symptoms of Behr syndrome ?,Behr syndrome
What are the symptoms of Charlie M syndrome ?,Charlie M syndrome
What are the symptoms of Genoa syndrome ?,Genoa syndrome
What are the symptoms of Kleiner Holmes syndrome ?,Kleiner Holmes syndrome
What are the symptoms of Hepatoblastoma ?,Hepatoblastoma
What are the symptoms of Childhood hypophosphatasia ?,Childhood hypophosphatasia
What are the symptoms of Maple syrup urine disease type 1A ?,Maple syrup urine disease type 1A
"What are the symptoms of Cataract, posterior polar, 1 ?","Cataract, posterior polar, 1"
What are the symptoms of Oculocutaneous albinism type 2 ?,Oculocutaneous albinism type 2
What are the symptoms of Iron-Deficiency Anemia ?,Iron-Deficiency Anemia
What are the symptoms of Liver failure acute infantile ?,Liver failure acute infantile
What are the symptoms of Intellectual disability-developmental delay-contractures syndrome ?,Intellectual disability-developmental delay-contractures syndrome
What are the symptoms of Split hand split foot nystagmus ?,Split hand split foot nystagmus
What are the symptoms of Olmsted syndrome ?,Olmsted syndrome
What are the symptoms of Chromosome 8q24.3 deletion syndrome ?,Chromosome 8q24.3 deletion syndrome
What are the symptoms of Cleidorhizomelic syndrome ?,Cleidorhizomelic syndrome
What are the symptoms of Axenfeld-Rieger syndrome type 2 ?,Axenfeld-Rieger syndrome type 2
What are the symptoms of Eisenmenger syndrome ?,Eisenmenger syndrome
What are the symptoms of Pulmonary venous return anomaly ?,Pulmonary venous return anomaly
What are the symptoms of Costello syndrome ?,Costello syndrome
What are the symptoms of Intrauterine growth retardation with increased mitomycin C sensitivity ?,Intrauterine growth retardation with increased mitomycin C sensitivity
"What are the symptoms of Angiomatosis, diffuse corticomeningeal, of Divry and Van Bogaert ?","Angiomatosis, diffuse corticomeningeal, of Divry and Van Bogaert"
What are the symptoms of Fine-Lubinsky syndrome ?,Fine-Lubinsky syndrome
What are the symptoms of Silicosis ?,Silicosis
What are the symptoms of Oral submucous fibrosis ?,Oral submucous fibrosis
What are the symptoms of Van Regemorter Pierquin Vamos syndrome ?,Van Regemorter Pierquin Vamos syndrome
What are the symptoms of Bronchopulmonary Dysplasia ?,Bronchopulmonary Dysplasia
What are the symptoms of Nephrosis deafness urinary tract digital malformation ?,Nephrosis deafness urinary tract digital malformation
What are the symptoms of Kernicterus ?,Kernicterus
What are the symptoms of Ameloonychohypohidrotic syndrome ?,Ameloonychohypohidrotic syndrome
What are the symptoms of Craniofacial dyssynostosis ?,Craniofacial dyssynostosis
What are the symptoms of Pancreatic Cancer ?,Pancreatic Cancer
What are the symptoms of Spastic ataxia Charlevoix-Saguenay type ?,Spastic ataxia Charlevoix-Saguenay type
What are the symptoms of Indigestion ?,Indigestion
What are the symptoms of Nasopharyngeal Cancer ?,Nasopharyngeal Cancer
What are the symptoms of Jung Wolff Back Stahl syndrome ?,Jung Wolff Back Stahl syndrome
What are the symptoms of Microphthalmia mental deficiency ?,Microphthalmia mental deficiency
What are the symptoms of Omphalocele cleft palate syndrome lethal ?,Omphalocele cleft palate syndrome lethal
What are the symptoms of Tetraamelia with ectodermal dysplasia and lacrimal duct abnormalities ?,Tetraamelia with ectodermal dysplasia and lacrimal duct abnormalities
"What are the symptoms of Hydrops, Ectopic calcification, Moth-eaten skeletal dysplasia ?","Hydrops, Ectopic calcification, Moth-eaten skeletal dysplasia"
What are the symptoms of Papillary thyroid carcinoma ?,Papillary thyroid carcinoma
What are the symptoms of Acute intermittent porphyria ?,Acute intermittent porphyria
What are the symptoms of Tetralogy of Fallot ?,Tetralogy of Fallot
What are the symptoms of Hearing Loss ?,Hearing Loss
What are the symptoms of Oculoectodermal syndrome ?,Oculoectodermal syndrome
What are the symptoms of Keratoderma palmoplantar spastic paralysis ?,Keratoderma palmoplantar spastic paralysis
What are the symptoms of Pseudoprogeria syndrome ?,Pseudoprogeria syndrome
What are the symptoms of Dry Eye ?,Dry Eye
What are the symptoms of Parathyroid Cancer ?,Parathyroid Cancer
What are the symptoms of X-linked Charcot-Marie-Tooth disease type 2 ?,X-linked Charcot-Marie-Tooth disease type 2
"What are the symptoms of Limb-girdle muscular dystrophy, type 2C ?","Limb-girdle muscular dystrophy, type 2C"
"What are the symptoms of Angioma serpiginosum, autosomal dominant ?","Angioma serpiginosum, autosomal dominant"
What are the symptoms of Fibrolamellar carcinoma ?,Fibrolamellar carcinoma
What are the symptoms of Progressive hemifacial atrophy ?,Progressive hemifacial atrophy
What are the symptoms of Seminoma ?,Seminoma
What are the symptoms of Birt-Hogg-Dube syndrome ?,Birt-Hogg-Dube syndrome
What are the symptoms of Noonan-like syndrome with loose anagen hair ?,Noonan-like syndrome with loose anagen hair
What are the symptoms of Insulin-like growth factor I deficiency ?,Insulin-like growth factor I deficiency
What are the symptoms of Renal hypouricemia ?,Renal hypouricemia
What are the symptoms of Kidney Disease ?,Kidney Disease
What are the symptoms of Bladder cancer ?,Bladder cancer
What are the symptoms of Donnai-Barrow syndrome ?,Donnai-Barrow syndrome
What are the symptoms of Spinocerebellar ataxia 21 ?,Spinocerebellar ataxia 21
What are the symptoms of Wittwer syndrome ?,Wittwer syndrome
What are the symptoms of Chromosome 17q11.2 deletion syndrome ?,Chromosome 17q11.2 deletion syndrome
What are the symptoms of Subcortical band heterotopia ?,Subcortical band heterotopia
What are the symptoms of Ectrodactyly polydactyly ?,Ectrodactyly polydactyly
What are the symptoms of Syndactyly type 3 ?,Syndactyly type 3
"What are the symptoms of Neuropathy, distal hereditary motor, Jerash type ?","Neuropathy, distal hereditary motor, Jerash type"
What are the symptoms of N syndrome ?,N syndrome
What are the symptoms of Cat scratch disease ?,Cat scratch disease
What are the symptoms of Pallister-Killian mosaic syndrome ?,Pallister-Killian mosaic syndrome
What are the symptoms of Heart Palpitations ?,Heart Palpitations
What are the symptoms of Carnitine palmitoyltransferase 2 deficiency ?,Carnitine palmitoyltransferase 2 deficiency
What are the symptoms of Dystrophic epidermolysis bullosa ?,Dystrophic epidermolysis bullosa
What are the symptoms of Onychotrichodysplasia and neutropenia ?,Onychotrichodysplasia and neutropenia
What are the symptoms of Osteoarthritis ?,Osteoarthritis
What are the symptoms of Zori Stalker Williams syndrome ?,Zori Stalker Williams syndrome
What are the symptoms of Childhood Acute Lymphoblastic Leukemia ?,Childhood Acute Lymphoblastic Leukemia
What are the symptoms of Dermatoleukodystrophy ?,Dermatoleukodystrophy
What are the symptoms of Bethlem myopathy ?,Bethlem myopathy
What are the symptoms of Insulinoma ?,Insulinoma
What are the symptoms of Oculocutaneous albinism type 3 ?,Oculocutaneous albinism type 3
What are the symptoms of Kozlowski Celermajer Tink syndrome ?,Kozlowski Celermajer Tink syndrome
What are the symptoms of Lung adenocarcinoma ?,Lung adenocarcinoma
What are the symptoms of Cerebral sarcoma ?,Cerebral sarcoma
"What are the symptoms of Porokeratosis, disseminated superficial actinic 1 ?","Porokeratosis, disseminated superficial actinic 1"
What are the symptoms of Onychodystrophy-anonychia ?,Onychodystrophy-anonychia
What are the symptoms of 22q11.2 duplication syndrome ?,22q11.2 duplication syndrome
What are the symptoms of Cerebral palsy ataxic ?,Cerebral palsy ataxic
What are the symptoms of Disseminated superficial actinic porokeratosis ?,Disseminated superficial actinic porokeratosis
What are the symptoms of 19p13.12 microdeletion syndrome ?,19p13.12 microdeletion syndrome
What are the symptoms of 17q23.1q23.2 microdeletion syndrome ?,17q23.1q23.2 microdeletion syndrome
What are the symptoms of Sialidosis type I ?,Sialidosis type I
What are the symptoms of Cirrhosis ?,Cirrhosis
What are the symptoms of Pinheiro Freire-Maia Miranda syndrome ?,Pinheiro Freire-Maia Miranda syndrome
What are the symptoms of Kowarski syndrome ?,Kowarski syndrome
What are the symptoms of Conotruncal heart malformations ?,Conotruncal heart malformations
What are the symptoms of Prescription and Illicit Drug Abuse ?,Prescription and Illicit Drug Abuse
"What are the symptoms of Chondrodysplasia punctata 1, X-linked recessive ?","Chondrodysplasia punctata 1, X-linked recessive"
What are the symptoms of Mental retardation X-linked syndromic 11 ?,Mental retardation X-linked syndromic 11
What are the symptoms of Hypomandibular faciocranial dysostosis ?,Hypomandibular faciocranial dysostosis
What are the symptoms of Loose anagen hair syndrome ?,Loose anagen hair syndrome
What are the symptoms of Liddle syndrome ?,Liddle syndrome
What are the symptoms of Atypical Chronic Myelogenous Leukemia ?,Atypical Chronic Myelogenous Leukemia
What are the symptoms of Ectrodactyly and ectodermal dysplasia without cleft lip/palate ?,Ectrodactyly and ectodermal dysplasia without cleft lip/palate
What are the symptoms of Dermoids of cornea ?,Dermoids of cornea
"What are the symptoms of Deafness, autosomal dominant nonsyndromic sensorineural 22 ?","Deafness, autosomal dominant nonsyndromic sensorineural 22"
What are the symptoms of Childhood Soft Tissue Sarcoma ?,Childhood Soft Tissue Sarcoma
What are the symptoms of Oculodentoosseous dysplasia recessive ?,Oculodentoosseous dysplasia recessive
What are the symptoms of PCDH19-related female-limited epilepsy ?,PCDH19-related female-limited epilepsy
"What are the symptoms of Myasthenia gravis, limb-girdle ?","Myasthenia gravis, limb-girdle"
What are the symptoms of X-linked congenital stationary night blindness ?,X-linked congenital stationary night blindness
What are the symptoms of Rh Incompatibility ?,Rh Incompatibility
What are the symptoms of Olivopontocerebellar atrophy deafness ?,Olivopontocerebellar atrophy deafness
What are the symptoms of Juvenile Myelomonocytic Leukemia ?,Juvenile Myelomonocytic Leukemia
What are the symptoms of Arthrogryposis renal dysfunction cholestasis syndrome ?,Arthrogryposis renal dysfunction cholestasis syndrome
What are the symptoms of Mitochondrial Membrane Protein-Associated Neurodegeneration ?,Mitochondrial Membrane Protein-Associated Neurodegeneration
What are the symptoms of Retinoschisis autosomal dominant ?,Retinoschisis autosomal dominant
What are the symptoms of Brugada syndrome 4 ?,Brugada syndrome 4
"What are the symptoms of Coloboma, cleft lip/palate and mental retardation syndrome ?","Coloboma, cleft lip/palate and mental retardation syndrome"
What are the symptoms of Meesmann corneal dystrophy ?,Meesmann corneal dystrophy
"What are the symptoms of Tuberous sclerosis, type 2 ?","Tuberous sclerosis, type 2"
What are the symptoms of TARP syndrome ?,TARP syndrome
What are the symptoms of Autosomal dominant optic atrophy and cataract ?,Autosomal dominant optic atrophy and cataract
What are the symptoms of Porencephaly ?,Porencephaly
What are the symptoms of Syndrome of inappropriate antidiuretic hormone ?,Syndrome of inappropriate antidiuretic hormone
What are the symptoms of Hirschsprung disease type d brachydactyly ?,Hirschsprung disease type d brachydactyly
What are the symptoms of Angel shaped phalangoepiphyseal dysplasia ?,Angel shaped phalangoepiphyseal dysplasia
