Concept,cate
What is (are) L-2-hydroxyglutaric aciduria ?,L-2-hydroxyglutaric aciduria
What is (are) isodicentric chromosome 15 syndrome ?,isodicentric chromosome 15 syndrome
What is (are) head and neck squamous cell carcinoma ?,head and neck squamous cell carcinoma
What is (are) Meier-Gorlin syndrome ?,Meier-Gorlin syndrome
What is (are) Townes-Brocks Syndrome ?,Townes-Brocks Syndrome
What is (are) epidermolytic hyperkeratosis ?,epidermolytic hyperkeratosis
What is (are) Traumatic Brain Injury ?,Traumatic Brain Injury
What is (are) Hemorrhagic Stroke ?,Hemorrhagic Stroke
What is (are) 21-hydroxylase deficiency ?,21-hydroxylase deficiency
What is (are) Allergy ?,Allergy
What is (are) Sjgren's Syndrome ?,Sjgren's Syndrome
What is (are) Feingold syndrome ?,Feingold syndrome
What is (are) Kidney Stones ?,Kidney Stones
What is (are) Meningitis ?,Meningitis
What is (are) Klumpke paralysis ?,Klumpke paralysis
What is (are) Mental Disorders ?,Mental Disorders
What is (are) Aquagenic pruritus ?,Aquagenic pruritus
What is (are) Split hand/foot malformation X-linked ?,Split hand/foot malformation X-linked
What is (are) spinal muscular atrophy ?,spinal muscular atrophy
What is (are) High Blood Cholesterol ?,High Blood Cholesterol
What is (are) Frank Ter Haar syndrome ?,Frank Ter Haar syndrome
What is (are) Sickle Cell Disease ?,Sickle Cell Disease
What is (are) Pregnancy and Substance Abuse ?,Pregnancy and Substance Abuse
What is (are) Peyronie disease ?,Peyronie disease
What is (are) Wiedemann-Steiner syndrome ?,Wiedemann-Steiner syndrome
What is (are) McKusick-Kaufman syndrome ?,McKusick-Kaufman syndrome
What is (are) Trisomy 17 mosaicism ?,Trisomy 17 mosaicism
What is (are) Suicide ?,Suicide
What is (are) Chromosome 1p deletion ?,Chromosome 1p deletion
What is (are) Pineocytoma ?,Pineocytoma
What is (are) Acromegaly ?,Acromegaly
What is (are) Deep Brain Stimulation for Parkinson's Disease ?,Deep Brain Stimulation for Parkinson's Disease
What is (are) Chronic Fatigue Syndrome ?,Chronic Fatigue Syndrome
What is (are) Fibrodysplasia ossificans progressiva ?,Fibrodysplasia ossificans progressiva
What is (are) Olivopontocerebellar Atrophy ?,Olivopontocerebellar Atrophy
What is (are) psoriatic arthritis ?,psoriatic arthritis
What is (are) spinocerebellar ataxia type 2 ?,spinocerebellar ataxia type 2
What is (are) COPD ?,COPD
What is (are) Holoprosencephaly ?,Holoprosencephaly
What is (are) cyclic vomiting syndrome ?,cyclic vomiting syndrome
What is (are) DICER1-related pleuropulmonary blastoma cancer predisposition syndrome ?,DICER1-related pleuropulmonary blastoma cancer predisposition syndrome
What is (are) Hepatitis B ?,Hepatitis B
What is (are) Klebsiella infection ?,Klebsiella infection
What is (are) Glioblastoma ?,Glioblastoma
What is (are) Crouzon syndrome ?,Crouzon syndrome
What is (are) Meckel syndrome ?,Meckel syndrome
What is (are) Glycogen storage disease type 4 ?,Glycogen storage disease type 4
What is (are) Trigeminal Trophic Syndrome ?,Trigeminal Trophic Syndrome
What is (are) monilethrix ?,monilethrix
What is (are) Pyogenic granuloma ?,Pyogenic granuloma
What is (are) multiple epiphyseal dysplasia ?,multiple epiphyseal dysplasia
What is (are) Prolactinoma ?,Prolactinoma
What is (are) Yeast Infections ?,Yeast Infections
What is (are) Growth Failure in Children with Chronic Kidney Disease ?,Growth Failure in Children with Chronic Kidney Disease
What is (are) Childhood Acute Lymphoblastic Leukemia ?,Childhood Acute Lymphoblastic Leukemia
What is (are) VACTERL association ?,VACTERL association
"What is (are) hypermanganesemia with dystonia, polycythemia, and cirrhosis ?","hypermanganesemia with dystonia, polycythemia, and cirrhosis"
What is (are) Back Injuries ?,Back Injuries
What is (are) Shapiro syndrome ?,Shapiro syndrome
What is (are) Dowling-Degos disease ?,Dowling-Degos disease
What is (are) Lymphedema ?,Lymphedema
What is (are) otospondylomegaepiphyseal dysplasia ?,otospondylomegaepiphyseal dysplasia
What is (are) Alexander Disease ?,Alexander Disease
What is (are) Leprechaunism ?,Leprechaunism
What is (are) tumor necrosis factor receptor-associated periodic syndrome ?,tumor necrosis factor receptor-associated periodic syndrome
What is (are) Bipolar Disorder ?,Bipolar Disorder
What is (are) spastic paraplegia type 3A ?,spastic paraplegia type 3A
What is (are) Dominant dystrophic epidermolysis bullosa ?,Dominant dystrophic epidermolysis bullosa
What is (are) Spinal Cord Injury ?,Spinal Cord Injury
What is (are) Keratoconus ?,Keratoconus
What is (are) Paroxysmal Hemicrania ?,Paroxysmal Hemicrania
What is (are) Pseudohypoparathyroidism ?,Pseudohypoparathyroidism
What is (are) ataxia-telangiectasia ?,ataxia-telangiectasia
What is (are) Pheochromocytoma ?,Pheochromocytoma
What is (are) ethylmalonic encephalopathy ?,ethylmalonic encephalopathy
What is (are) Chromosome 14q deletion ?,Chromosome 14q deletion
What is (are) Myotonic dystrophy type 1 ?,Myotonic dystrophy type 1
What is (are) Protein C deficiency ?,Protein C deficiency
"What is (are) Craniometaphyseal dysplasia, autosomal dominant ?","Craniometaphyseal dysplasia, autosomal dominant"
What is (are) Adams-Oliver syndrome ?,Adams-Oliver syndrome
What is (are) ophthalmo-acromelic syndrome ?,ophthalmo-acromelic syndrome
What is (are) gyrate atrophy of the choroid and retina ?,gyrate atrophy of the choroid and retina
What is (are) myoclonic epilepsy myopathy sensory ataxia ?,myoclonic epilepsy myopathy sensory ataxia
What is (are) Alopecia areata ?,Alopecia areata
What is (are) hypohidrotic ectodermal dysplasia ?,hypohidrotic ectodermal dysplasia
What is (are) inherited thyroxine-binding globulin deficiency ?,inherited thyroxine-binding globulin deficiency
What is (are) CASK-related intellectual disability ?,CASK-related intellectual disability
What is (are) Ankylosing Spondylitis ?,Ankylosing Spondylitis
What is (are) congenital insensitivity to pain ?,congenital insensitivity to pain
What is (are) Pachyonychia congenita ?,Pachyonychia congenita
What is (are) Cerebral Aneurysms ?,Cerebral Aneurysms
What is (are) Interstitial cystitis ?,Interstitial cystitis
What is (are) congenital fiber-type disproportion ?,congenital fiber-type disproportion
What is (are) WAGR syndrome ?,WAGR syndrome
What is (are) Tracheobronchopathia osteoplastica ?,Tracheobronchopathia osteoplastica
What is (are) multiple lentigines syndrome ?,multiple lentigines syndrome
What is (are) surfactant dysfunction ?,surfactant dysfunction
What is (are) cystinosis ?,cystinosis
What is (are) Charcot-Marie-Tooth disease type 2B ?,Charcot-Marie-Tooth disease type 2B
What is (are) Colon Cancer ?,Colon Cancer
What is (are) Prediabetes ?,Prediabetes
"What is (are) Early-onset, autosomal dominant Alzheimer disease ?","Early-onset, autosomal dominant Alzheimer disease"
What is (are) Hypertonia ?,Hypertonia
What is (are) mucopolysaccharidosis type VI ?,mucopolysaccharidosis type VI
What is (are) hereditary paraganglioma-pheochromocytoma ?,hereditary paraganglioma-pheochromocytoma
What is (are) severe congenital neutropenia ?,severe congenital neutropenia
What is (are) Kernicterus ?,Kernicterus
What is (are) 47 XXX syndrome ?,47 XXX syndrome
What is (are) Alzheimer disease ?,Alzheimer disease
What is (are) nemaline myopathy ?,nemaline myopathy
What is (are) Pyruvate dehydrogenase deficiency ?,Pyruvate dehydrogenase deficiency
What is (are) Von Willebrand Disease ?,Von Willebrand Disease
What is (are) aminoacylase 1 deficiency ?,aminoacylase 1 deficiency
What is (are) pulmonary veno-occlusive disease ?,pulmonary veno-occlusive disease
What is (are) Hyper-IgD syndrome ?,Hyper-IgD syndrome
What is (are) Familial avascular necrosis of the femoral head ?,Familial avascular necrosis of the femoral head
What is (are) Acquired Cystic Kidney Disease ?,Acquired Cystic Kidney Disease
What is (are) Primary hyperoxaluria type 2 ?,Primary hyperoxaluria type 2
What is (are) Vernal keratoconjunctivitis ?,Vernal keratoconjunctivitis
What is (are) Parasites - Scabies ?,Parasites - Scabies
What is (are) mucopolysaccharidosis type I ?,mucopolysaccharidosis type I
What is (are) bradyopsia ?,bradyopsia
What is (are) Primary Sclerosing Cholangitis ?,Primary Sclerosing Cholangitis
What is (are) primary myelofibrosis ?,primary myelofibrosis
What is (are) Ambras syndrome ?,Ambras syndrome
What is (are) Cone-rod dystrophy ?,Cone-rod dystrophy
What is (are) hypercholesterolemia ?,hypercholesterolemia
What is (are) Northern epilepsy ?,Northern epilepsy
What is (are) N-acetylglutamate synthase deficiency ?,N-acetylglutamate synthase deficiency
What is (are) lacrimo-auriculo-dento-digital syndrome ?,lacrimo-auriculo-dento-digital syndrome
What is (are) Biotinidase deficiency ?,Biotinidase deficiency
What is (are) fucosidosis ?,fucosidosis
What is (are) prothrombin thrombophilia ?,prothrombin thrombophilia
What is (are) Managed Care ?,Managed Care
What is (are) Brain Diseases ?,Brain Diseases
What is (are) Pseudohypoparathyroidism type 1A ?,Pseudohypoparathyroidism type 1A
What is (are) Diabetic Foot ?,Diabetic Foot
What is (are) Hereditary sensory neuropathy type 1 ?,Hereditary sensory neuropathy type 1
What is (are) Hypotension ?,Hypotension
What is (are) Growth hormone deficiency ?,Growth hormone deficiency
What is (are) Tietze syndrome ?,Tietze syndrome
What is (are) pseudohypoaldosteronism type 2 ?,pseudohypoaldosteronism type 2
What is (are) Chronic inflammatory demyelinating polyneuropathy ?,Chronic inflammatory demyelinating polyneuropathy
What is (are) Polycystic Ovary Syndrome ?,Polycystic Ovary Syndrome
What is (are) Blood Disorders ?,Blood Disorders
What is (are) Spinal Muscular Atrophy ?,Spinal Muscular Atrophy
What is (are) National Hormone and Pituitary Program (NHPP): Information for People Treated with Pituitary Human Growth Hormone (Comprehensive Report) ?,National Hormone and Pituitary Program (NHPP): Information for People Treated with Pituitary Human Growth Hormone (Comprehensive Report)
What is (are) Primary gastrointestinal melanoma ?,Primary gastrointestinal melanoma
What is (are) Adenocarcinoma of the appendix ?,Adenocarcinoma of the appendix
What is (are) Mitral Valve Prolapse ?,Mitral Valve Prolapse
What is (are) Heart Valve Diseases ?,Heart Valve Diseases
What is (are) Cap myopathy ?,Cap myopathy
What is (are) Greenberg dysplasia ?,Greenberg dysplasia
What is (are) Aceruloplasminemia ?,Aceruloplasminemia
What is (are) bladder cancer ?,bladder cancer
What is (are) Rotavirus Infections ?,Rotavirus Infections
What is (are) Chorea-acanthocytosis ?,Chorea-acanthocytosis
What is (are) Familial mixed cryoglobulinemia ?,Familial mixed cryoglobulinemia
What is (are) Adult Acute Lymphoblastic Leukemia ?,Adult Acute Lymphoblastic Leukemia
What is (are) Congenital myasthenic syndrome ?,Congenital myasthenic syndrome
What is (are) Hypertryptophanemia ?,Hypertryptophanemia
What is (are) complement factor I deficiency ?,complement factor I deficiency
What is (are) Familial hypercholesterolemia ?,Familial hypercholesterolemia
What is (are) retinoblastoma ?,retinoblastoma
What is (are) Tay-Sachs disease ?,Tay-Sachs disease
What is (are) De Barsy syndrome ?,De Barsy syndrome
What is (are) 5q14.3 microdeletion syndrome ?,5q14.3 microdeletion syndrome
What is (are) malignant hyperthermia ?,malignant hyperthermia
What is (are) Arthritis ?,Arthritis
What is (are) epidermolysis bullosa with pyloric atresia ?,epidermolysis bullosa with pyloric atresia
What is (are) Sexual Assault ?,Sexual Assault
What is (are) Central serous chorioretinopathy ?,Central serous chorioretinopathy
What is (are) enlarged parietal foramina ?,enlarged parietal foramina
What is (are) Athlete's Foot ?,Athlete's Foot
What is (are) Catecholaminergic polymorphic ventricular tachycardia ?,Catecholaminergic polymorphic ventricular tachycardia
What is (are) Interstitial Lung Diseases ?,Interstitial Lung Diseases
What is (are) nonsyndromic aplasia cutis congenita ?,nonsyndromic aplasia cutis congenita
What is (are) primary carnitine deficiency ?,primary carnitine deficiency
What is (are) Pendred syndrome ?,Pendred syndrome
What is (are) Childhood Acute Myeloid Leukemia and Other Myeloid Malignancies ?,Childhood Acute Myeloid Leukemia and Other Myeloid Malignancies
What is (are) Thalassemia ?,Thalassemia
What is (are) Chilaiditi syndrome ?,Chilaiditi syndrome
What is (are) Occipital Neuralgia ?,Occipital Neuralgia
What is (are) celiac disease ?,celiac disease
What is (are) Knobloch syndrome ?,Knobloch syndrome
What is (are) Bruises ?,Bruises
What is (are) ALG12-congenital disorder of glycosylation ?,ALG12-congenital disorder of glycosylation
What is (are) Myelomeningocele ?,Myelomeningocele
What is (are) Hypophosphatemic rickets ?,Hypophosphatemic rickets
What is (are) Chronic hiccups ?,Chronic hiccups
What is (are) Scars ?,Scars
What is (are) Amyopathic dermatomyositis ?,Amyopathic dermatomyositis
What is (are) Hiccups ?,Hiccups
What is (are) Disseminated Intravascular Coagulation ?,Disseminated Intravascular Coagulation
What is (are) Lipoid Proteinosis ?,Lipoid Proteinosis
What is (are) myofibrillar myopathy ?,myofibrillar myopathy
What is (are) Eisenmenger syndrome ?,Eisenmenger syndrome
What is (are) Nodular nonsuppurative panniculitis ?,Nodular nonsuppurative panniculitis
What is (are) Brown-Sequard syndrome ?,Brown-Sequard syndrome
What is (are) Von Hippel-Lindau disease ?,Von Hippel-Lindau disease
What is (are) trisomy 18 ?,trisomy 18
What is (are) Gerstmann's Syndrome ?,Gerstmann's Syndrome
What is (are) Panic Disorder ?,Panic Disorder
What is (are) Troyer syndrome ?,Troyer syndrome
What is (are) Orofaciodigital syndrome 1 ?,Orofaciodigital syndrome 1
What is (are) DICER1 syndrome ?,DICER1 syndrome
What is (are) Beckwith-Wiedemann syndrome ?,Beckwith-Wiedemann syndrome
What is (are) multiple system atrophy ?,multiple system atrophy
What is (are) tarsal-carpal coalition syndrome ?,tarsal-carpal coalition syndrome
What is (are) Opitz G/BBB syndrome ?,Opitz G/BBB syndrome
What is (are) hypokalemic periodic paralysis ?,hypokalemic periodic paralysis
What is (are) Oculopharyngeal muscular dystrophy ?,Oculopharyngeal muscular dystrophy
What is (are) Brain Aneurysm ?,Brain Aneurysm
What is (are) Heart Diseases ?,Heart Diseases
What is (are) Charcot-Marie-Tooth Disease ?,Charcot-Marie-Tooth Disease
What is (are) prion disease ?,prion disease
What is (are) Christianson syndrome ?,Christianson syndrome
What is (are) Amyloidosis AA ?,Amyloidosis AA
What is (are) Infantile Spasms ?,Infantile Spasms
What is (are) Anaplastic astrocytoma ?,Anaplastic astrocytoma
What is (are) Pycnodysostosis ?,Pycnodysostosis
What is (are) carnitine palmitoyltransferase II deficiency ?,carnitine palmitoyltransferase II deficiency
What is (are) Bacterial Infections ?,Bacterial Infections
What is (are) Nephrogenic diabetes insipidus ?,Nephrogenic diabetes insipidus
What is (are) Meningococcal Infections ?,Meningococcal Infections
What is (are) Benign hereditary chorea ?,Benign hereditary chorea
"What is (are) Poison Ivy, Oak and Sumac ?","Poison Ivy, Oak and Sumac"
What is (are) Multiple myeloma ?,Multiple myeloma
What is (are) Laryngeal cleft ?,Laryngeal cleft
What is (are) Amyloidosis and Kidney Disease ?,Amyloidosis and Kidney Disease
What is (are) Freiberg's disease ?,Freiberg's disease
What is (are) Fibromuscular Dysplasia ?,Fibromuscular Dysplasia
What is (are) dihydropyrimidine dehydrogenase deficiency ?,dihydropyrimidine dehydrogenase deficiency
What is (are) Fraser syndrome ?,Fraser syndrome
What is (are) Headache ?,Headache
What is (are) Charcot-Marie-Tooth disease ?,Charcot-Marie-Tooth disease
What is (are) Zika Virus ?,Zika Virus
What is (are) Bone Marrow Diseases ?,Bone Marrow Diseases
What is (are) Refractive Errors ?,Refractive Errors
What is (are) Gas ?,Gas
What is (are) Acromesomelic dysplasia ?,Acromesomelic dysplasia
What is (are) neuroblastoma ?,neuroblastoma
What is (are) hepatic veno-occlusive disease with immunodeficiency ?,hepatic veno-occlusive disease with immunodeficiency
What is (are) Factor V Leiden thrombophilia ?,Factor V Leiden thrombophilia
What is (are) Adrenoleukodystrophy ?,Adrenoleukodystrophy
What is (are) aceruloplasminemia ?,aceruloplasminemia
What is (are) Dyggve-Melchior-Clausen syndrome ?,Dyggve-Melchior-Clausen syndrome
